device,num_adversaries,f1,tp,fp,tn,fn,aggregation
pi3-1gb,0,85.91648973814578,607,6,194,193,fed_avg
pi4-2gb-bc,0,86.05803255484786,608,5,195,192,fed_avg
pi4-2gb-wc,0,86.03988603988604,604,0,200,196,fed_avg
pi4-4gb,0,85.83629893238435,603,2,198,197,fed_avg
All,0,85.96273291925466,2422,13,787,778,fed_avg
pi3-1gb,1,85.83569405099149,606,6,194,194,fed_avg
pi4-2gb-bc,1,85.997171145686,608,6,194,192,fed_avg
pi4-2gb-wc,1,86.03988603988604,604,0,200,196,fed_avg
pi4-4gb,1,85.91749644381223,604,2,198,196,fed_avg
All,1,85.94748048261177,2422,14,786,778,fed_avg
pi3-1gb,2,41.897233201581024,212,0,200,588,fed_avg
pi4-2gb-bc,2,57.39750445632799,322,0,200,478,fed_avg
pi4-2gb-wc,2,56.37342908438061,314,0,200,486,fed_avg
pi4-4gb,2,56.24438454627134,313,0,200,487,fed_avg
All,2,53.244668653978444,1161,0,800,2039,fed_avg
pi3-1gb,3,0.4987531172069826,2,0,200,798,fed_avg
pi4-2gb-bc,3,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,3,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,3,0.24968789013732834,1,0,200,799,fed_avg
All,3,0.31201248049922004,5,0,800,3195,fed_avg
pi3-1gb,4,0.4987531172069826,2,0,200,798,fed_avg
pi4-2gb-bc,4,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,4,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,4,0.24968789013732834,1,0,200,799,fed_avg
All,4,0.31201248049922004,5,0,800,3195,fed_avg
pi3-1gb,5,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,5,0.24968789013732834,1,0,200,799,fed_avg
All,5,0.24968789013732834,4,0,800,3196,fed_avg
pi3-1gb,6,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,fed_avg
pi4-2gb-wc,6,0.24968789013732834,1,0,200,799,fed_avg
pi4-4gb,6,0.24968789013732834,1,0,200,799,fed_avg
All,6,0.24968789013732834,4,0,800,3196,fed_avg
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean
pi4-2gb-wc,0,85.91749644381223,604,2,198,196,trimmed_mean
pi4-4gb,0,85.91749644381223,604,2,198,196,trimmed_mean
All,0,86.80935788949726,2616,211,589,584,trimmed_mean
pi3-1gb,1,86.01845280340667,606,3,197,194,trimmed_mean
pi4-2gb-bc,1,85.97733711048159,607,5,195,193,trimmed_mean
pi4-2gb-wc,1,86.03988603988604,604,0,200,196,trimmed_mean
pi4-4gb,1,85.83629893238435,603,2,198,197,trimmed_mean
All,1,85.96802841918296,2420,10,790,780,trimmed_mean
pi3-1gb,2,86.01845280340667,606,3,197,194,trimmed_mean
pi4-2gb-bc,2,85.97733711048159,607,5,195,193,trimmed_mean
pi4-2gb-wc,2,86.03988603988604,604,0,200,196,trimmed_mean
pi4-4gb,2,85.83629893238435,603,2,198,197,trimmed_mean
All,2,85.96802841918296,2420,10,790,780,trimmed_mean
pi3-1gb,3,3.198031980319803,13,0,200,787,trimmed_mean
pi4-2gb-bc,3,4.63980463980464,19,0,200,781,trimmed_mean
pi4-2gb-wc,3,6.0606060606060606,25,0,200,775,trimmed_mean
pi4-4gb,3,4.400977995110025,18,0,200,782,trimmed_mean
All,3,4.580152671755725,75,0,800,3125,trimmed_mean
pi3-1gb,4,2.712700369913687,11,0,200,789,trimmed_mean
pi4-2gb-bc,4,4.400977995110025,18,0,200,782,trimmed_mean
pi4-2gb-wc,4,5.825242718446601,24,0,200,776,trimmed_mean
pi4-4gb,4,4.161566707466341,17,0,200,783,trimmed_mean
All,4,4.281345565749235,70,0,800,3130,trimmed_mean
pi3-1gb,5,0.0,0,0,200,800,trimmed_mean
pi4-2gb-bc,5,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-wc,5,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-4gb,5,0.24968789013732834,1,0,200,799,trimmed_mean
All,5,0.18732438339057134,3,0,800,3197,trimmed_mean
pi3-1gb,6,0.0,0,0,200,800,trimmed_mean
pi4-2gb-bc,6,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-2gb-wc,6,0.24968789013732834,1,0,200,799,trimmed_mean
pi4-4gb,6,0.24968789013732834,1,0,200,799,trimmed_mean
All,6,0.18732438339057134,3,0,800,3197,trimmed_mean
pi3-1gb,0,88.8888888888889,800,200,0,0,trimmed_mean_2
pi4-2gb-bc,0,85.93639575971733,608,7,193,192,trimmed_mean_2
pi4-2gb-wc,0,85.85643212508883,604,3,197,196,trimmed_mean_2
pi4-4gb,0,85.85643212508883,604,3,197,196,trimmed_mean_2
All,0,86.78056062365233,2616,213,587,584,trimmed_mean_2
pi3-1gb,1,85.89652728561305,606,5,195,194,trimmed_mean_2
pi4-2gb-bc,1,85.97733711048159,607,5,195,193,trimmed_mean_2
pi4-2gb-wc,1,86.03988603988604,604,0,200,196,trimmed_mean_2
pi4-4gb,1,85.83629893238435,603,2,198,197,trimmed_mean_2
All,1,85.9375,2420,12,788,780,trimmed_mean_2
pi3-1gb,2,86.01845280340667,606,3,197,194,trimmed_mean_2
pi4-2gb-bc,2,86.05803255484786,608,5,195,192,trimmed_mean_2
pi4-2gb-wc,2,86.03988603988604,604,0,200,196,trimmed_mean_2
